dataset,face,label,video_id,split,frame,identity,src
ff++,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/ff++/train/1/c318932d3d03_00000.jpg,1,ff++/FaceForensics++_C23/Deepfakes/710_788,train,0,710,/root/.cache/kagglehub/datasets/xdxd003/ff-c23/versions/1/FaceForensics++_C23/Deepfakes/710_788.mp4
ff++,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/ff++/train/1/c318932d3d03_00030.jpg,1,ff++/FaceForensics++_C23/Deepfakes/710_788,train,30,710,/root/.cache/kagglehub/datasets/xdxd003/ff-c23/versions/1/FaceForensics++_C23/Deepfakes/710_788.mp4
ff++,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/ff++/train/1/c318932d3d03_00060.jpg,1,ff++/FaceForensics++_C23/Deepfakes/710_788,train,60,710,/root/.cache/kagglehub/datasets/xdxd003/ff-c23/versions/1/FaceForensics++_C23/Deepfakes/710_788.mp4
ff++,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/ff++/train/1/c318932d3d03_00120.jpg,1,ff++/FaceForensics++_C23/Deepfakes/710_788,train,120,710,/root/.cache/kagglehub/datasets/xdxd003/ff-c23/versions/1/FaceForensics++_C23/Deepfakes/710_788.mp4
ff++,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/ff++/train/1/c318932d3d03_00150.jpg,1,ff++/FaceForensics++_C23/Deepfakes/710_788,train,150,710,/root/.cache/kagglehub/datasets/xdxd003/ff-c23/versions/1/FaceForensics++_C23/Deepfakes/710_788.mp4
ff++,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/ff++/train/1/c318932d3d03_00180.jpg,1,ff++/FaceForensics++_C23/Deepfakes/710_788,train,180,710,/root/.cache/kagglehub/datasets/xdxd003/ff-c23/versions/1/FaceForensics++_C23/Deepfakes/710_788.mp4
ff++,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/ff++/train/1/c318932d3d03_00240.jpg,1,ff++/FaceForensics++_C23/Deepfakes/710_788,train,240,710,/root/.cache/kagglehub/datasets/xdxd003/ff-c23/versions/1/FaceForensics++_C23/Deepfakes/710_788.mp4
ff++,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/ff++/train/1/c318932d3d03_00270.jpg,1,ff++/FaceForensics++_C23/Deepfakes/710_788,train,270,710,/root/.cache/kagglehub/datasets/xdxd003/ff-c23/versions/1/FaceForensics++_C23/Deepfakes/710_788.mp4
ff++,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/ff++/train/1/c318932d3d03_00300.jpg,1,ff++/FaceForensics++_C23/Deepfakes/710_788,train,300,710,/root/.cache/kagglehub/datasets/xdxd003/ff-c23/versions/1/FaceForensics++_C23/Deepfakes/710_788.mp4
ff++,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/ff++/train/1/c318932d3d03_00360.jpg,1,ff++/FaceForensics++_C23/Deepfakes/710_788,train,360,710,/root/.cache/kagglehub/datasets/xdxd003/ff-c23/versions/1/FaceForensics++_C23/Deepfakes/710_788.mp4
