dataset,face,label,video_id,split,frame,identity,src
wilddeepfake,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/wilddeepfake/train/1/a9012ab5dc12_00000.jpg,1,wilddeepfake/test/fake/0,train,0,0,/root/.cache/kagglehub/datasets/maysuni/wild-deepfake/versions/1/test/fake/0_1388.png
wilddeepfake,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/wilddeepfake/train/1/3b3dc82ea3dd_00000.jpg,1,wilddeepfake/test/fake/0,train,0,0,/root/.cache/kagglehub/datasets/maysuni/wild-deepfake/versions/1/test/fake/0_137.png
wilddeepfake,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/wilddeepfake/train/1/932e7fdf0cc5_00000.jpg,1,wilddeepfake/test/fake/0,train,0,0,/root/.cache/kagglehub/datasets/maysuni/wild-deepfake/versions/1/test/fake/0_1165.png
wilddeepfake,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/wilddeepfake/train/1/ff31a4bf2ca2_00000.jpg,1,wilddeepfake/test/fake/0,train,0,0,/root/.cache/kagglehub/datasets/maysuni/wild-deepfake/versions/1/test/fake/0_1412.png
wilddeepfake,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/wilddeepfake/train/1/882785b8ccc2_00000.jpg,1,wilddeepfake/test/fake/0,train,0,0,/root/.cache/kagglehub/datasets/maysuni/wild-deepfake/versions/1/test/fake/0_1357.png
wilddeepfake,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/wilddeepfake/train/1/80352e7ed2be_00000.jpg,1,wilddeepfake/test/fake/0,train,0,0,/root/.cache/kagglehub/datasets/maysuni/wild-deepfake/versions/1/test/fake/0_1405.png
wilddeepfake,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/wilddeepfake/train/1/3b9b7827d443_00000.jpg,1,wilddeepfake/test/fake/0,train,0,0,/root/.cache/kagglehub/datasets/maysuni/wild-deepfake/versions/1/test/fake/0_139.png
wilddeepfake,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/wilddeepfake/train/1/5896454b53dc_00000.jpg,1,wilddeepfake/test/fake/0,train,0,0,/root/.cache/kagglehub/datasets/maysuni/wild-deepfake/versions/1/test/fake/0_1449.png
wilddeepfake,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/wilddeepfake/train/1/93fb6848440d_00000.jpg,1,wilddeepfake/test/fake/0,train,0,0,/root/.cache/kagglehub/datasets/maysuni/wild-deepfake/versions/1/test/fake/0_1548.png
wilddeepfake,/content/drive/MyDrive/NIT-PATNA-P2/fsttnet_v2/faces/wilddeepfake/train/1/dc7146adbaf8_00000.jpg,1,wilddeepfake/test/fake/0,train,0,0,/root/.cache/kagglehub/datasets/maysuni/wild-deepfake/versions/1/test/fake/0_155.png
